#timestamp x y z qx qy qz qw
1670531263.20397830 3.83097862 -6.93493720 0.13058329 -0.00636729 -0.00440360 0.06399957 0.99791990
1670531263.30353141 3.91555378 -6.90953235 0.13684921 -0.00539445 -0.00762430 0.06412844 0.99789795
1670531263.40314317 3.99613828 -6.88554372 0.14094231 -0.00643568 -0.01147156 0.06688188 0.99767419
1670531263.50285220 4.09429771 -6.86023777 0.13146988 -0.00628081 -0.01054121 0.06804864 0.99760654
1670531263.60280180 4.17459184 -6.84986353 0.14082356 -0.00434634 -0.00388497 0.06792351 0.99767350
1670531263.70270872 4.27146878 -6.82753622 0.13614339 -0.00677367 -0.00932703 0.06801718 0.99761756
1670531263.80275702 4.36656912 -6.81160061 0.14661089 -0.00699265 -0.00850051 0.06980388 0.99750001
1670531263.90290761 4.45827079 -6.80299168 0.14073514 -0.00720150 -0.00250367 0.06905111 0.99758399
1670531264.00300813 4.56000922 -6.78762819 0.15388908 -0.00793061 -0.00654626 0.06892117 0.99756911
1670531264.10320592 4.65293561 -6.77347501 0.14455300 -0.01082883 -0.00666454 0.07291720 0.99725694
1670531264.20333672 4.75223187 -6.76596362 0.15463238 -0.01042764 -0.00604283 0.06964573 0.99749898
1670531264.30344439 4.83828242 -6.75389913 0.15148466 -0.01338479 -0.00511250 0.07128355 0.99735318
1670531264.40346479 4.94434386 -6.73723527 0.14732399 -0.01480661 0.00042662 0.07154505 0.99732737
1670531264.50343013 5.03732455 -6.71763439 0.14440626 -0.01470977 0.00414540 0.07037651 0.99740342
1670531264.60334635 5.12949844 -6.70166752 0.14694732 -0.01364874 -0.00113456 0.07191248 0.99731691
1670531264.70320344 5.23217082 -6.68221525 0.15255328 -0.01534653 -0.00817457 0.07395405 0.99711005
1670531264.80321455 5.30858406 -6.66822439 0.15511696 -0.01419995 -0.00181362 0.07537526 0.99705248
1670531264.90323019 5.39901415 -6.65085452 0.16489479 -0.01546435 0.00181434 0.07428853 0.99711523
1670531265.00325036 5.49059617 -6.63739097 0.15414436 -0.01552190 0.00701876 0.07809629 0.99680027
1670531265.10326219 5.59592807 -6.62014156 0.14347016 -0.01476980 0.00468792 0.07722056 0.99689361
1670531265.20325041 5.68692337 -6.61097393 0.14146135 -0.01178077 0.00254327 0.07722620 0.99694075
1670531265.30322790 5.77735763 -6.60193097 0.14034535 -0.01003470 -0.00250008 0.07893992 0.99682573
1670531265.40317774 5.86008922 -6.59282316 0.14042183 -0.00708388 0.00017973 0.07969703 0.99679395
1670531265.50309110 5.94845469 -6.58665120 0.14647374 -0.00516658 -0.00169231 0.08029216 0.99675655
1670531265.60305142 6.04033835 -6.57267569 0.16315002 -0.00448986 -0.00590652 0.08005308 0.99676299
1670531265.70299292 6.13293084 -6.55869579 0.15398079 -0.00470627 -0.00288485 0.07991205 0.99678663
1670531265.80294776 6.22989396 -6.54627634 0.16015634 -0.00106097 0.00020835 0.08127509 0.99669112
1670531265.90292192 6.32563812 -6.52944605 0.15779382 -0.00444983 -0.00078180 0.08192415 0.99662833
1670531266.00280285 6.43036784 -6.50749741 0.15202487 -0.00224604 -0.00218985 0.08511641 0.99636608
1670531266.10263848 6.51395389 -6.48866993 0.17144455 -0.00018459 -0.00763637 0.09607841 0.99534446
1670531266.20233274 6.62589219 -6.45033018 0.15753443 -0.00396985 -0.01023125 0.11760875 0.99299937
1670531266.30202055 6.74825091 -6.41225591 0.15817676 -0.00360854 -0.00215234 0.14014448 0.99012215
1670531266.40183544 6.82500331 -6.37616106 0.14883354 -0.00544321 -0.01147718 0.16975019 0.98540526
1670531266.50184798 6.90156961 -6.34724607 0.15826729 -0.00477731 -0.01107847 0.19591664 0.98054634
1670531266.60200334 6.98073334 -6.30447523 0.16461594 -0.00795912 -0.00433429 0.22195240 0.97501538
1670531266.70247102 7.02178660 -6.27143987 0.16391896 -0.00860154 -0.00490114 0.24291858 0.96999616
1670531266.80322504 7.07173483 -6.24303410 0.15600260 -0.00876645 -0.00476734 0.24291833 0.96999541
1670531266.90361810 7.16675617 -6.20561027 0.13905987 -0.00415345 -0.01025580 0.24206544 0.97019683
